,Haltestelle,latitude,longitude,index
40,Achtern Brack (West),9.843566,53.507163,0.0
41,Achtern Sand,9.770828,53.584389,0.0
42,Achtern Styg,9.866817,53.581369,0.0
43,Achterschlag,10.23755,53.468184,0.0
44,Adebarweg,9.745385,53.583571,0.0
45,Adendorf,10.42618,53.290942,0.0
46,"Adendorf, An der Bünte",10.45919,53.280837,0.0
47,"Adendorf, Danziger Weg",10.438228,53.281712,0.0
48,"Adendorf, Dorfstraße",10.426518,53.285762,0.0
49,"Adendorf, DRK-Heim",10.446572,53.280155,0.0
50,"Adendorf, Elba",10.427085,53.296493,0.0
51,"Adendorf, Friedhof",10.448227,53.285653,0.0
52,"Adendorf, Grüner Weg",10.432353,53.272841,0.0
53,"Adendorf, Heinrich-Hille-Straße",10.442829,53.286113,0.0
54,"Adendorf, Im Gutspark",10.446865,53.286172,0.0
55,"Adendorf, Kastanienallee",10.454751,53.283911,0.0
56,"Adendorf, Katzenweg",10.457224,53.286963,0.0
57,"Adendorf, Kirchweg",10.436603,53.278865,0.0
58,"Adendorf, Königsberger Weg",10.439938,53.283507,0.0
59,"Adendorf, Kornblumenweg",10.432833,53.287627,0.0
60,"Adendorf, Kreuzkamp",10.436615,53.286377,0.0
61,"Adendorf, Lindenweg",10.437529,53.272959,0.0
62,"Adendorf, Moorchaussee",10.447874,53.288964,0.0
63,"Adendorf, Neue Straße",10.430897,53.274566,0.0
64,"Adendorf, Rauher Weg",10.43495,53.276513,0.0
65,"Adendorf, Robert-Koch-Straße",10.451862,53.284494,0.0
66,"Adendorf, Robert-Schumann-Straße",10.433825,53.289916,0.0
67,"Adendorf, Röntgenstraße",10.448856,53.282086,0.0
68,"Adendorf, Röthenweg",10.432762,53.285956,0.0
69,"Adendorf, Sportzentrum",10.454868,53.289112,0.0
70,"Adendorf, Steinweg",10.442283,53.275247,0.0
71,"Adendorf, Teichaue",10.449039,53.286595,0.0
72,"Adendorf, Virchowstraße",10.446971,53.28131,0.0
73,"Adendorf, Von-Stauffenberg-Straße",10.440431,53.282126,0.0
74,"Adendorf, Weinbergsweg",10.432742,53.285363,0.0
75,"Adendorf, Weinbergsweg (Schule)",10.432623,53.282238,0.0
76,Adolf-Köster-Damm,10.146951,53.485407,0.125
77,Aebtissinwisch,9.288429,53.967569,0.0
78,Afrikastraße,9.989839,53.527516,0.0
79,Agathe-Lasch-Weg,9.893614,53.552553,0.125
80,Agathenburg,9.531541,53.564003,0.0
81,"Agathenburg, Buchenweg",9.524907,53.564553,0.0
82,"Agathenburg, Feldstraße",9.529668,53.562663,0.0
83,"Agathenburg, Hanfberg/Lieth",9.535824,53.557775,0.0
84,"Agathenburg, Hauptstraße 13",9.527191,53.564939,0.0
85,"Agathenburg, Schulstraße",9.530579,53.561887,0.0
86,"Agethorst, Burenbrook 6",9.448384,54.031693,0.0
87,"Agethorst, Dorfstraße (Nord)",9.434671,54.024979,0.0
88,"Agethorst, Dorfstraße 17",9.435819,54.019512,0.0
89,"Ahlerstedt, Grundschule",9.448509,53.400597,0.0
90,"Ahlerstedt, Grundschule (Kehre)",9.448338,53.400086,0.0
91,"Ahlerstedt, Holzhäuserstraße",9.45573,53.409438,0.0
92,"Ahlerstedt, In der Heide",9.472063,53.40968,0.0
93,"Ahlerstedt, Kakerbecker Straße",9.452398,53.405848,0.0
94,"Ahlerstedt, Paradies",9.475931,53.404597,0.0
95,"Ahlerstedt, Schulzentrum",9.446999,53.401447,0.0
96,"Ahlerstedt, Stader Straße",9.451071,53.405457,0.0
97,"Ahndorf, Am Rundling",10.73724,53.158835,0.0
98,"Ahndorf, Moorberg",10.737518,53.159046,0.0
99,"Ahrenlohe, Brookkamp",9.734412,53.70554,0.0
100,"Ahrenlohe, Hörnweg",9.741468,53.708965,0.0
101,"Ahrenlohe, Prisdorfer Weg",9.751138,53.714493,0.0
102,Ahrensburg,10.23625,53.669123,0.0
103,"Ahrensburg, Ahrensburger Kamp",10.258234,53.648894,0.0
104,"Ahrensburg, Ahrensburger Redder",10.25414,53.649018,0.0
105,"Ahrensburg, Am Aalfang",10.249891,53.663861,0.0
106,"Ahrensburg, Am Alten Markt",10.239952,53.677281,0.0
107,"Ahrensburg, Am Birkenhain",10.237163,53.652384,0.0
108,"Ahrensburg, Am Golfplatz",10.206209,53.676422,0.0
109,"Ahrensburg, Am Haidschlag",10.206641,53.673021,0.0
110,"Ahrensburg, Am Hopfenbach",10.254998,53.678427,0.0
111,"Ahrensburg, Am Kratt",10.208751,53.639951,0.0
112,"Ahrensburg, Am Neuen Teich",10.221164,53.667644,0.0
113,"Ahrensburg, Am Obsthain",10.23632,53.688137,0.0
114,"Ahrensburg, Am Weinberg",10.247108,53.679777,0.0
115,"Ahrensburg, An der Reitbahn",10.235755,53.67143,0.0
116,"Ahrensburg, An der Strusbek (Mitte)",10.265858,53.689284,0.0
117,"Ahrensburg, An der Strusbek (Süd)",10.26659,53.685943,0.0
118,"Ahrensburg, Auestieg",10.235705,53.686778,0.0
119,"Ahrensburg, Bahnhofstraße",10.233358,53.668642,0.0
120,"Ahrensburg, Beimoorweg",10.253103,53.680343,0.0
121,"Ahrensburg, Berufsschule",10.23117,53.678702,0.0
122,"Ahrensburg, Bornkampsweg (Ost)",10.213063,53.660044,0.0
123,"Ahrensburg, Brombeerweg",10.21305,53.640106,0.0
124,"Ahrensburg, Brückenstraße",10.228014,53.667484,0.0
125,"Ahrensburg, Burgweg",10.234862,53.65487,0.0
126,"Ahrensburg, Dänenweg",10.216449,53.640008,0.0
127,"Ahrensburg, Doktor-Flögel-Straße",10.270769,53.679968,0.0
128,"Ahrensburg, Ella-Hensel-Weg",10.228375,53.671057,0.0
129,"Ahrensburg, Ellenbogen",10.248174,53.681536,0.0
130,"Ahrensburg, Elsterweg",10.237791,53.654705,0.0
131,"Ahrensburg, Ewige Weide",10.25591,53.688724,0.0
132,"Ahrensburg, Finkenweg",10.242773,53.657969,0.0
133,"Ahrensburg, Freizeitbad",10.233863,53.681756,0.0
134,"Ahrensburg, Friedhof",10.208654,53.660322,0.0
135,"Ahrensburg, Fritz-Reuter-Straße",10.228965,53.674196,0.0
136,"Ahrensburg, Grauer Esel",10.233686,53.674174,0.0
137,"Ahrensburg, Gustav-Delle-Straße",10.224769,53.684028,0.0
138,"Ahrensburg, Hamburger Straße",10.236042,53.671217,0.0
139,"Ahrensburg, Helgolandring",10.242059,53.685625,0.0
140,"Ahrensburg, Hermann-Löns-Straße",10.226788,53.676321,0.0
141,"Ahrensburg, Hinterm Vogelherd",10.236325,53.649581,0.0
142,"Ahrensburg, Husumweg",10.248948,53.684169,0.0
143,"Ahrensburg, Jochim-Klindt-Straße",10.262997,53.67819,0.0
144,"Ahrensburg, Jungborn",10.231271,53.683724,0.0
145,"Ahrensburg, Klaus-Groth-Straße",10.236889,53.675534,0.0
146,"Ahrensburg, Kornkamp (Mitte)",10.25667,53.685769,0.0
147,"Ahrensburg, Kornkamp (Springer)",10.256209,53.687562,0.0
148,"Ahrensburg, Kornkamp (Süd)",10.257795,53.681354,0.0
149,"Ahrensburg, Kremerberg",10.241837,53.695062,0.0
150,"Ahrensburg, Kurt-Fischer-Straße (Mitte)",10.261252,53.686619,0.0
151,"Ahrensburg, Kurt-Fischer-Straße (Nord)",10.261502,53.689438,0.0
152,"Ahrensburg, Kurt-Fischer-Straße (Süd)",10.262309,53.681468,0.0
153,"Ahrensburg, Lilienweg",10.223639,53.679408,0.0
154,"Ahrensburg, Manhagener Allee",10.242837,53.669928,0.0
155,"Ahrensburg, Meisenstieg",10.231918,53.645214,0.0
156,"Ahrensburg, Meisenweg",10.236915,53.645953,0.0
157,"Ahrensburg, Moltkeallee",10.24517,53.667954,0.0
158,"Ahrensburg, Norderoogstieg",10.249481,53.689888,0.0
159,"Ahrensburg, Nordstrandring",10.250075,53.686422,0.0
160,"Ahrensburg, Olandstieg",10.244186,53.687966,0.0
161,Ahrensburg Ost,10.242281,53.661308,0.0
162,"Ahrensburg, Otto-Schumann-Straße",10.226019,53.682184,0.0
163,"Ahrensburg, Pellwormstieg",10.242202,53.685336,0.0
164,"Ahrensburg, Pionierweg",10.220627,53.645411,0.0
165,"Ahrensburg, Rathaus",10.236286,53.673024,0.0
166,"Ahrensburg, Reesenbüttler Graben",10.227738,53.674154,0.0
167,"Ahrensburg, Reesenbüttler Redder",10.212126,53.677458,0.0
168,"Ahrensburg, Rondeel",10.239265,53.673488,0.0
169,"Ahrensburg, Rosenhof",10.240818,53.683068,0.0
170,"Ahrensburg, Rosenweg",10.222546,53.683784,0.0
171,"Ahrensburg, Schimmelmannstraße",10.213549,53.674335,0.0
172,"Ahrensburg, Schloß",10.242995,53.679379,0.0
173,"Ahrensburg, Schule Am Hagen",10.217746,53.642511,0.0
174,"Ahrensburg, Schulstraße",10.236468,53.677713,0.0
175,"Ahrensburg, Schulzentrum Am Heimgarten",10.22069,53.678989,0.0
176,"Ahrensburg, Selma-Lagerlöf-Schule",10.222838,53.673189,0.0
177,"Ahrensburg, Spechtweg",10.22654,53.645925,0.0
178,"Ahrensburg, Starweg",10.238078,53.657766,0.0
179,"Ahrensburg, Steinkamp",10.228787,53.68288,0.0
180,"Ahrensburg, Stormarner Werkstätten",10.261917,53.683566,0.0
181,"Ahrensburg, Stormarner Werkstätten (Kehre)",10.261704,53.683029,0.0
182,"Ahrensburg, Stormarnstraße",10.227319,53.676387,0.0
183,"Ahrensburg, Teichstraße",10.244225,53.645635,0.0
184,"Ahrensburg, Theodor-Storm-Stieg",10.22183,53.66921,0.0
185,"Ahrensburg, Vogteiweg",10.239427,53.685679,0.0
186,"Ahrensburg, Waldemar-Bonsels-Weg",10.220612,53.672637,0.0
187,"Ahrensburg, Weißdornweg",10.208612,53.670503,0.0
188,"Ahrensburg, Weizenkoppel",10.253619,53.679888,0.0
189,Ahrensburg West,10.219806,53.664639,0.0
190,"Ahrensburg, Wulfsdorfer Weg",10.215182,53.671111,0.0
191,Ahrensburger Platz,10.176033,53.655786,0.0
192,"Ahrensfelde, B 208",10.495506,53.764352,0.0
193,"Ahrensfelde, Schmiedeweg",10.499139,53.764181,0.0
194,"Ahrensfelde, Webertwiete",10.501786,53.760159,0.0
195,"Ahrensmoor-Nord, Schlangenweg",9.503096,53.404126,0.0
196,"Ahrensmoor-Ost, Drosselgasse",9.504361,53.39545,0.0
197,"Ahrensmoor-Ost, Schuldamm",9.503397,53.390162,0.0
198,"Ahrensmoor-West, Ahlerstedter Weg",9.487418,53.396626,0.0
199,"Ahrenswohlde, Kampshorn",9.476537,53.386202,0.0
200,"Ahrenswohlde, Landstraße",9.465676,53.3784,0.0
201,"Ahrenswohlde, Lange Straße",9.465047,53.37861,0.0
202,AIRBUS,9.847983,53.536604,0.0
203,AIRBUS (Am Tower),9.840938,53.541102,0.0
204,AIRBUS (Fähranleger/Haus 25-nur für Betriebsange.),9.841068,53.543113,0.0
205,AIRBUS (Kehre),9.847299,53.537112,0.125
206,AIRBUS (Schiffsanleger),9.840997,53.54483,0.0
207,AIRBUS (Werkgelände - nur für Betriebsangehörige),9.832652,53.543181,0.0
208,AIRBUS(Osttor/Einfahrt-nur für Betriebsangehörige),9.846786,53.537853,0.0
209,AK Altona (Eingang),9.898253,53.555043,0.0
210,AK Barmbek,10.039923,53.605129,0.125
211,AK Harburg,9.951448,53.459008,0.125
212,AK St. Georg,10.014683,53.55997,0.0
213,AK Wandsbek,10.091347,53.568711,0.0
214,Alaskaweg,10.15057,53.628359,0.125
215,Albertinen-Krankenhaus (A Schnelsen),9.904984,53.63205,0.0
216,Albert-Schweitzer-Ring,10.12312,53.579442,0.0
217,Albertstraße,10.019779,53.549108,0.125
218,"Albsfelde, Möllerweg",10.700892,53.684325,0.0
219,"Albsfelde, Wilhelm-Bohn-Straße",10.694344,53.679951,0.0
220,Alfred-Mahlau-Weg,10.054483,53.609827,0.0
221,Alfredstraße,10.033022,53.55762,0.0
222,Algermissenstraße,10.011521,53.497018,0.0
223,Allermöhe,10.158464,53.490489,0.0
224,Allermöher Deich 187,10.140569,53.476069,0.0
225,Allermöher Deich 355,10.162523,53.472541,0.0
226,Allermöher Deich 365,10.164841,53.472465,0.0
227,Allermöher Deich 75,10.124559,53.482933,0.0
228,Allermöher Kirche,10.129314,53.482169,0.0
229,Allermöher Werftstegel,10.172336,53.471727,0.0
230,Alsenplatz,9.951807,53.566489,0.0
231,Alsterblick,10.123706,53.699302,0.125
232,Alsterchaussee,9.994021,53.57275,0.0
233,Alsterdorf,10.010926,53.606169,0.0
234,Alsterdorfer Damm,9.999389,53.613427,0.0
235,Alsterdorfer Straße/Überseekolleg,10.026711,53.617248,0.0
236,Alsterkrugchaussee (Mitte),10.005357,53.617861,0.125
237,Alsterkrugchaussee 244,9.995646,53.610403,0.0
238,Alsterredder,10.09559,53.659165,0.0
239,Alstertal-Einkaufszentrum,10.093025,53.655333,0.0
240,Alt Erfrade,10.276966,54.032411,0.0
241,"Alt Garge, Bahnhof",10.796211,53.265819,0.0
242,"Alt Garge, Hauptstraße",10.802069,53.265029,0.0
243,"Alt Garge, Turnhalle",10.798775,53.265474,0.0
244,"Alt Garge, Waldbad",10.803849,53.257831,0.0
245,"Alt Horst, Gut",10.770303,53.63828,0.0
246,"Alt Horst, Siedlung",10.764455,53.634026,0.0
247,"Alt Mölln, Am Brink",10.65838,53.622127,0.0
248,"Alt Mölln, Am Brook",10.657893,53.621289,0.0
249,"Alt Mölln, Am Horsberg",10.657706,53.627699,0.0
250,"Alt Mölln, Am Lausebusch",10.670569,53.621526,0.0
251,Alte Holstenstraße,10.208382,53.490489,0.0
252,Alte Horster Schule,10.28317,53.455895,0.0
253,Alte Landstraße (Nord),10.077301,53.653212,0.125
254,Alte Schule Moorburg,9.92775,53.494876,0.0
255,Alte Schule Neuland,10.027455,53.470473,0.0
256,Alte Schule Reitbrook,10.148817,53.468055,0.0
257,Alte Schule Seefeld,10.164318,53.444021,0.0
258,Alte Twiete,10.201396,53.41924,0.0
259,Alte Wöhr (Stadtpark),10.035419,53.597657,0.625
260,"Altendeich, Altendeicher Chaussee 47",9.595179,53.669589,0.0
261,"Altendeich, Altendeicher Chaussee 56",9.583883,53.662804,0.0
262,"Altendeich, Audeich",9.588558,53.666508,0.0
263,"Altendeich, Feuerwehr",9.567349,53.655836,0.0
264,"Altendeich, Sperrwerkstraße",9.570235,53.659828,0.0
265,"Altendorfer Moor, 3. Kanal",9.28402,53.745076,0.0
266,Altengamme (Feuerwehr),10.274411,53.430335,0.0
267,Altengamme (Süd),10.285869,53.427615,0.0
268,Altengammer Elbwiesen,10.279342,53.426723,0.0
269,Altengammer Löschplatz,10.290732,53.428731,0.0
270,Altengammer Marschbahndamm,10.301687,53.441578,0.0
271,Altengörs,10.354996,53.899286,0.0
272,"Altengörs, Bahnhofstraße",10.356719,53.898458,0.0
273,"Altengörs, Dorfplatz",10.362966,53.89783,0.0
274,"Altengörs, Neuengörser Straße",10.364621,53.898656,0.0
275,"Altenmoor, Bullendorf 11",9.620644,53.767527,0.0
276,"Altenmoor, Bullendorf 25",9.612225,53.765296,0.0
277,"Altenmoor, Feuerwehrhaus",9.607661,53.765218,0.0
278,Altenwerder Hauptstraße (Mitte),9.92145,53.500352,0.0
279,Altenwerder Hauptstraße (Süd),9.919251,53.499021,0.0
280,Alter Bahnhof Kirchwerder,10.20072,53.425168,0.0
281,Alter Berner Weg,10.121676,53.644043,0.0
282,Alter Fährweg,9.778318,53.531822,0.0
283,Alter Fährweg (Kehre),9.777369,53.531936,0.0
284,Alter Güterbahnhof,10.035425,53.591088,0.25
285,Alter Teichweg,10.064492,53.586655,0.125
286,Alter Zollweg,10.137217,53.607919,0.125
287,Altes Estesperrwerk,9.775425,53.533647,0.0
288,Altes Rathaus Rahlstedt,10.159031,53.6023,0.0
289,Altfresenburg,10.361655,53.823356,0.0
290,Altona,9.934356,53.551981,0.125
291,Altona (Fischmarkt),9.952237,53.543951,0.0
292,Altonaer Poststraße,9.94032,53.550119,0.0
293,Altwiedenthaler Straße,9.888252,53.478095,0.125
294,Aluminiumwerk,9.889535,53.51781,0.0
295,"Alvesen, Alveser Straße",9.89359,53.438277,0.0
296,"Alvesen, Heinrich-Wendt-Weg",9.886055,53.43774,0.0
297,"Alvesen, Im Alvesener Dorfe",9.889272,53.436871,0.0
298,Alveslohe,9.916593,53.791457,0.0
299,"Alveslohe, Brunskamp",9.909473,53.8102,0.0
300,"Alveslohe, Buschweg",9.916498,53.801017,0.0
301,"Alveslohe, Denkmal",9.914323,53.786856,0.0
302,"Alveslohe, Schäferei",9.888754,53.812538,0.0
303,"Alveslohe, Schule",9.91532,53.790819,0.0
304,Am Altenwerder Kirchtal,9.92161,53.507054,0.0
305,Am Altenwerder Kirchtal (Süd),9.921845,53.503961,0.0
306,Am Baum,10.22581,53.489278,0.0
307,Am Bergedorfer Hafen,10.20624,53.488291,0.0
308,Am Born,9.924013,53.554398,0.0
309,Am Botterbarg,9.834936,53.574866,0.0
310,Am Callabrack,10.009773,53.482449,0.0
311,Am Dalmannkai,9.994781,53.541493,0.125
312,Am Damm,10.089171,53.63198,0.125
313,Am Dornberg,10.108211,53.601722,0.0
314,Am Elisabethgehölz,10.062062,53.557213,0.125
315,Am Frankenberg,9.985521,53.436367,0.0
316,Am Friedhof,10.153939,53.59118,0.0
317,Am Fuchsberg,9.94832,53.465251,0.0
318,Am Gehöckel,10.054604,53.640098,0.0
319,Am Genter Ufer,9.895669,53.515563,0.0
320,Am Gleisdreieck,10.129187,53.495532,0.0
321,Am Gnadenberg,10.035488,53.638117,0.0
322,Am Güterbahnhof,10.20183,53.485244,0.0
323,Am Hegen,10.180492,53.589106,0.0
324,Am Hehsel,10.056292,53.647145,0.0
325,Am Hirschpark,9.821267,53.556657,0.0
326,Am Hohen Feld,10.11559,53.571039,0.0
327,Am Hohen Hause (Rentenversicherung),10.109824,53.592362,0.0
328,Am Horner Moor,10.10037,53.55462,0.0
329,Am Husarendenkmal,10.077934,53.564781,0.125
330,Am Isfeld,9.84088,53.571643,0.0
331,Am Jenfelder Moor,10.113802,53.576519,0.0
332,Am Kaiserkai (Elbphilharmonie),9.985578,53.542728,0.0
333,Am Kroog,10.141142,53.609508,0.0
334,Am Langberg,10.157848,53.515987,0.0
335,Am Licentiatenberg,9.983631,53.614187,0.125
336,Am Lilienberg,9.775448,53.584386,0.0
337,Am Mühlenbach,10.154353,53.531018,0.0
338,Am Neumarkt 63,10.096675,53.57568,0.0
339,Am Ohlendorffturm,10.168751,53.594882,0.0
340,Am Papenbrack,10.009018,53.48808,0.0
341,Am Pavillon,9.968767,53.433926,0.0
342,Am Pfeilshof,10.098407,53.640683,0.0
343,Am Pulverhof,10.137447,53.592884,0.125
344,Am Pulverhof (Mitte),10.135624,53.594743,0.0
345,Am Radeland,9.92565,53.471818,0.0
346,Am Rosengarten,9.822082,53.52629,0.0
347,Am Sandtorkai,9.991713,53.543153,0.125
348,Am Sandtorpark (Überseequartier),9.996343,53.541839,0.0
349,Am Schilfpark,10.204643,53.479771,0.0
350,Am Schleusengraben,10.206353,53.477417,0.0
351,Am Schulwald,10.027237,53.650112,0.125
352,Am Stadtrand,10.098875,53.588896,0.0
353,Am Stühm-Süd,10.099916,53.627793,0.0
354,Am Volkspark,9.908293,53.585517,0.0
355,Ameisweg,10.181583,53.477171,0.0
356,"Amelinghausen, Bahnhof",10.215753,53.130697,0.0
357,"Amelinghausen, Grundschule",10.220349,53.125223,0.0
358,"Amelinghausen, Kirche",10.212743,53.124599,0.0
359,"Amelinghausen, Oldendorfer Straße",10.21446,53.134098,0.0
360,"Amelinghausen, Soltauer Straße",10.208372,53.124824,0.0
361,"Ammersbek, Alter Teichweg",10.217264,53.71076,0.0
362,"Ammersbek, Beekkamp",10.159895,53.686126,0.0
363,"Ammersbek, Bramkampredder",10.206178,53.705014,0.0
364,"Ammersbek, Bünningstedter Feldweg",10.223347,53.709539,0.0
365,"Ammersbek, Hunnau",10.19191,53.700592,0.0
366,"Ammersbek, Joostredder",10.223136,53.700717,0.0
367,"Ammersbek, Laberg",10.184061,53.698235,0.0
368,"Ammersbek, Lehmkuhle",10.172487,53.693128,0.0
369,"Ammersbek, Pumpenhaus",10.226966,53.706393,0.0
370,"Ammersbek, Rathaus",10.167899,53.691457,0.0
371,"Ammersbek, Schäferdresch",10.211802,53.708336,0.0
372,"Ammersbek, Schneiderberg",10.216177,53.694094,0.0
373,"Ammersbek, Tannenkoppelweg",10.216569,53.710848,0.0
374,"Ammersbek, Teichweg",10.154294,53.681669,0.0
375,Amtsstraße,10.163372,53.596444,0.0
376,An de Geest,9.81935,53.469953,0.125
377,An den Wiesen,9.855681,53.479321,0.0
378,An der Bergkoppel,10.1988,53.500676,0.0
379,An der Eiche,10.010629,53.43418,0.0
380,An der Kleiderkasse,9.939845,53.559998,0.0
381,An der Lohe,9.952645,53.623854,0.0
382,An der Pollhofsbrücke,10.231152,53.479716,0.0
383,An der Schleemer Mühle,10.115954,53.537269,0.0
384,Andreas-Meyer-Straße (Mitte),10.0783,53.518089,0.0
385,Andreas-Meyer-Straße (Ost),10.08164,53.516019,0.25
386,Andreas-Meyer-Straße (West),10.071888,53.522064,0.0
387,Angerburger Straße,10.087505,53.591744,0.0
388,"Anker, Ankerweg",10.642063,53.687285,0.0
389,"Anker, Hauptstraße",10.636669,53.686379,0.0
390,Ankunftszentrum Rahlstedt,10.157979,53.622923,0.0
391,Anna-Siemsen-Gang,10.180679,53.48364,0.0
392,Anna-Susanna-Stieg,9.921444,53.643039,0.125
393,Anne-Frank-Straße,9.789321,53.570404,0.0
394,Anton-Rée-Schule,10.17446,53.48241,0.0
395,Apensen,9.611844,53.441606,0.0
396,"Apensen, Beckdorfer Straße",9.614202,53.433779,0.0
397,"Apensen, Feldstraße",9.625695,53.439703,0.0
398,"Apensen, Gräfenweg",9.611269,53.439095,0.0
399,"Apensen, Grundschule",9.615794,53.436655,0.0
400,"Apensen, Rathaus",9.619288,53.435819,0.0
401,"Apensen, Schulzentrum",9.608434,53.431283,0.0
402,"Apensen, Stader Straße",9.611956,53.43769,0.0
403,"Apensen, Zentrum",9.615749,53.43457,0.0
404,Apostelkirche,9.945243,53.575329,0.125
405,"Appel, Alter Postweg",9.733508,53.378914,0.0
406,"Appel, Gemeindehaus",9.745795,53.390635,0.0
407,"Appel, Kreisstraße",9.747149,53.391553,0.0
408,Appelbütteler Weg,9.934606,53.436633,0.0
409,"Appen, Bouhlentwiete",9.743265,53.659821,0.0
410,"Appen, Denkmal",9.747878,53.660299,0.0
411,"Appen, Friedhof",9.754585,53.650686,0.0
412,"Appen, Kaserne",9.71231,53.658475,0.0
413,"Appen, Pinnaubogen",9.753482,53.659284,0.0
414,"Appen, Schule",9.735902,53.661337,0.0
415,"Appen, Schulstraße",9.738244,53.660266,0.0
416,"Appen, Turnhalle",9.734279,53.662907,0.0
417,"Appen, Unterglinde",9.704199,53.664633,0.0
418,"Appen, Ziegeleiweg",9.705324,53.659809,0.0
419,"Appen-Etz, Denkmal",9.754118,53.634696,0.0
420,"Appen-Etz, Kiesgrube",9.735295,53.630329,0.0
421,"Appen-Etz, Rollbarg",9.761016,53.638327,0.0
422,"Appen-Etz, Wedeler Chaussee",9.761059,53.63901,0.0
423,Archenholzstraße (Ost),10.125501,53.544646,0.0
424,"Ardestorf, Am Dorfteich",9.761804,53.430187,0.0
425,Arenen,9.899358,53.588595,0.0
426,Arenen(Luftbadweg),9.897443,53.584161,0.0
427,Argentinienbrücke,9.976087,53.528222,0.0
428,Argentinienbrücke (Fähre),9.974499,53.528011,0.0
429,Armbruststraße,9.939934,53.57423,0.0
430,"Armstedt, Dorfstraße",9.850973,53.970712,0.0
431,"Armstedt, Schulstraße",9.848197,53.972097,0.0
432,Arningstraße,9.985205,53.537052,0.0
433,Arningstraße (Fähre),9.984574,53.537156,0.0
434,Arnswalder Straße,10.15147,53.613677,0.0
435,Arp-Schnitger-Stieg,9.811451,53.513703,0.0
436,"Artlenburg, B 209",10.493714,53.368259,0.0
437,"Artlenburg, Elbdeich",10.482726,53.375046,0.0
438,"Artlenburg, Große Straße",10.486877,53.370842,0.0
439,"Artlenburg, Grünstraße",10.491966,53.371983,0.0
440,"Artlenburg, Hopfenhof",10.486573,53.372464,0.0
441,"Artlenburg, Mühle",10.498185,53.370225,0.0
442,"Artlenburg, Ost",10.50443,53.367935,0.0
443,Aschenputtelstraße,10.119651,53.562483,0.0
444,"Aschhorn, Schwarzer Weg",9.3432,53.704965,0.0
445,Aschhorn 12,9.348261,53.701806,0.0
446,Aschhorn 2,9.353432,53.691836,0.0
447,Aschhorn 6,9.349575,53.695818,0.0
448,Aschhornermoor 5,9.349378,53.684938,0.0
449,"Asendorf, Am Mühlenberg",9.981609,53.293347,0.0
450,"Asendorf, Föhrenweg",9.985052,53.30545,0.0
451,"Asendorf, Hanstedter Straße",9.979773,53.289795,0.0
452,"Asendorf, Hinnerkstraße",9.979157,53.290393,0.0
453,"Asendorf, Hinterm Holze",9.991241,53.289646,0.0
454,"Asendorf, Salemsweg",9.976232,53.283139,0.0
455,"Asendorf, Schulstraße",9.979189,53.289818,0.0
456,"Asendorf, Waterfuhr",9.975628,53.293459,0.0
457,"Asendorf, Zum Auetal",9.986539,53.303559,0.0
458,Ashausen,10.145868,53.368621,0.0
459,"Ashausen, Büllhorner Weg",10.106861,53.359149,0.0
460,"Ashausen, Grundschule",10.127421,53.366424,0.0
461,"Ashausen, Im Twieten",10.139225,53.364569,0.0
